mode,task,mean_dsc,speedup,n,gate,bucket
total,291–295,1.0,9.62,10,PASS,stage1
total_mr,"850,851",0.9999,9.51,10,PASS,stage1
lung_vessels,117,0.99998,2.75,10,PASS,clean
lung_vessels_LEGACY,258,0.99989,4.2,10,PASS,clean
lung_nodules,913,0.9999,7.46,10,PASS,clean
teeth,113,0.99992,3.94,10,PASS,clean
liver_lesions,591,1.0,4.94,10,PASS,clean
liver_lesions_mr,589,1.0,6.23,10,PASS,clean
liver_segments_mr,576,1.0,6.72,10,PASS,clean
pleural_pericard_effusion,315,0.999,9.34,10,PASS,clean
craniofacial_structures,115,0.9998,4.0,10,PASS,clean
body,299,0.9996,2.33,10,PASS,clean
head_muscles,777,0.9989,5.06,10,PASS,clean
head_glands_cavities,775,0.9987,5.02,10,PASS,clean
liver_segments,570,0.9984,5.19,10,PASS,clean
abdominal_muscles,952,0.9981,4.56,10,PASS,clean
headneck_bones_vessels,776,0.9968,4.54,10,PASS,clean
oculomotor_muscles,351,0.996,4.78,10,PASS,clean
headneck_muscles,"778,779",0.9945,4.88,10,CAVEAT,caveat
kidney_cysts,789,0.9919,4.88,10,CAVEAT,caveat
liver_vessels,8,0.988,5.88,10,CAVEAT,caveat
heartchambers_highres,301,,,,LICENSE,license
coronary_arteries,509,,,,LICENSE,license
coronary_arteries_LEGACY,507,,,,LICENSE,license
aortic_sinuses,920,,,,LICENSE,license
brain_structures,409,,,,LICENSE,license
face_mr,856,,,,LICENSE,license
appendicular_bones,304,,,,LICENSE,license
appendicular_bones_mr,855,,,,LICENSE,license
face,303,,,,LICENSE,license
thigh_shoulder_muscles,857,,,,LICENSE,license
thigh_shoulder_muscles_mr,857,,,,LICENSE,license
tissue_types,481,,,,LICENSE,license
tissue_4_types,485,,,,LICENSE,license
tissue_types_mr,925,,,,LICENSE,license
vertebrae_body,305,,,,LICENSE,license
cerebral_bleed,150,,,,NO_DATA,nodata
ventricle_parts,552,,,,NO_DATA,nodata
brain_aneurysm,615,,,,NO_DATA,nodata
body_mr,597,,,,PENDING,implemented
breasts,527,,,,PENDING,implemented
hip_implant,260,,,,PENDING,implemented
trunk_cavities,343,,,,PENDING,implemented
vertebrae_mr,756,,,,PENDING,implemented
